,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,5,0,0,0,0,0,21,0,0,0,0,0
Charlock,0,7,23,0,0,3,0,0,0,4,2,0
Cleavers,0,0,25,0,0,2,0,0,0,1,1,0
Common Chickweed,1,0,0,59,0,0,0,0,0,1,0,0
Common wheat,3,0,0,0,12,1,4,0,1,1,0,0
Fat Hen,0,0,4,2,1,38,1,0,1,1,0,0
Loose Silky-bent,1,0,0,0,0,1,62,0,0,0,0,1
Maize,0,0,2,0,0,2,1,3,0,8,1,5
Scentless Mayweed,0,1,5,4,0,0,2,0,23,17,0,0
Shepherds Purse,0,0,0,2,0,0,0,0,0,21,0,0
Small-flowered Cranesbill,0,0,1,2,0,0,0,0,1,0,46,0
Sugar beet,0,0,1,0,0,7,0,0,1,0,1,28
