epoch,train_loss,train_acc,val_acc,val_f1
1,1.6166475830656108,0.5556344696969697,0.8694736855908444,0.8289674940196967
2,0.8902379924600775,0.8671875,0.9200000008783843,0.9006066894438054
3,0.7565776687679868,0.9216382575757576,0.9326315799512361,0.9171976581693847
4,0.7112052675449487,0.939157196969697,0.93894736904847,0.9249314107129661
5,0.676983629212235,0.9540719696969697,0.9452631582711872,0.9366131714930432
6,0.6465673284097151,0.9644886363636364,0.9684210527570624,0.9666413538042847
7,0.6295233097943392,0.9718276515151515,0.9600000005019339,0.9553046161802407
8,0.615428323095495,0.9779829545454546,0.9642105266922398,0.9632343702555555
9,0.6056941639293324,0.9812973484848485,0.9642105266922398,0.9600506775408619
10,0.5991079157049005,0.9810606060606061,0.9600000003764504,0.9533800330336776
11,0.5882551344958219,0.9869791666666666,0.9705263160404406,0.9698565352097434
12,0.5810087323188782,0.9891098484848485,0.97473684235623,0.9728037490020015
13,0.578251145102761,0.9883996212121212,0.9663157898501346,0.9647336640332603
14,0.5716942675185926,0.9914772727272727,0.9768421053886414,0.9763324527620334
15,0.5713988289688573,0.990530303030303,0.9705263160404406,0.9678564428917142
16,0.5621742281046781,0.9931344696969697,0.9768421055141249,0.9746241398155272
17,0.5619349840915564,0.9919507575757576,0.9789473686720196,0.9776057380353582
18,0.5572788299936237,0.9940814393939394,0.9705263160404406,0.9678017607317689
19,0.555470403396722,0.9931344696969697,0.9684210528825459,0.9681215487452745
20,0.5539962703531439,0.9947916666666666,0.9705263160404406,0.968556655722194
21,0.5555359107075315,0.9940814393939394,0.9789473686720196,0.9781698344602932
22,0.5502530860178398,0.9959753787878788,0.9768421053886414,0.9763328370350606
23,0.5523878354014773,0.9945549242424242,0.9768421055141249,0.9756550290043112
24,0.5479549025044297,0.9964488636363636,0.9768421053886414,0.9753521294532915
25,0.5466649225263884,0.9969223484848485,0.97473684235623,0.9726585267596888
26,0.5460553097002434,0.9978693181818182,0.9705263159149572,0.9672052780353787
27,0.5461673682386224,0.9962121212121212,0.9768421053886414,0.9753521294532915
28,0.5463166670365767,0.9964488636363636,0.9789473685465361,0.9779135112627936
29,0.5437795989441149,0.9981060606060606,0.9789473685465361,0.9779135112627936
30,0.5450225580822338,0.9973958333333334,0.9789473685465361,0.9779135112627936
