true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,11,0,0,0,0,0,15,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,3,0,0,0,19,0,0,0,0,0,0,0
Fat Hen,0,0,0,0,1,46,0,0,0,0,0,1
Loose Silky-bent,2,0,0,0,0,0,63,0,0,0,0,0
Maize,0,1,0,0,0,0,0,20,0,0,1,0
Scentless Mayweed,0,0,0,1,0,0,0,0,49,2,0,0
Shepherds Purse,0,0,0,0,0,1,0,0,0,22,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
