true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,10,0,0,0,0,0,15,0,1,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,1,24,0,0,2,0,0,1,0,1,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,4,0,0,0,8,4,0,1,4,0,0,1
Fat Hen,0,0,0,0,0,46,0,2,0,0,0,0
Loose Silky-bent,3,0,0,0,0,1,58,0,3,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,2,0,0,0,0,49,1,0,0
Shepherds Purse,0,0,0,2,0,2,0,0,4,13,2,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,0,2,0,0,1,0,0,35
