true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,0,0,11,0,1,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,4,20,0,0,3,0,0,1,0,1,0
Common Chickweed,0,0,0,54,0,0,1,0,6,0,0,0
Common wheat,2,0,0,0,11,2,1,0,6,0,0,0
Fat Hen,0,0,0,2,0,38,0,0,7,0,0,1
Loose Silky-bent,3,0,0,0,2,0,54,0,6,0,0,0
Maize,0,0,0,1,0,0,0,20,1,0,0,0
Scentless Mayweed,0,0,0,1,1,0,3,0,47,0,0,0
Shepherds Purse,0,0,0,4,0,1,0,0,6,12,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,2,1,47,0
Sugar beet,0,0,0,0,0,2,0,0,1,0,0,35
