true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,0,0,10,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,24,0,0,1,0,0,0,0,1,0
Common Chickweed,0,0,0,54,0,0,1,0,6,0,0,0
Common wheat,1,0,0,0,15,0,2,0,4,0,0,0
Fat Hen,0,0,0,1,2,40,1,0,3,0,0,1
Loose Silky-bent,4,0,0,0,2,0,56,0,3,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,2,0,50,0,0,0
Shepherds Purse,0,0,0,4,0,1,0,1,9,8,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,2,0,48,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
