true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,0,0,11,0,1,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,21,0,0,3,0,0,1,0,1,0
Common Chickweed,0,0,0,55,0,0,1,0,5,0,0,0
Common wheat,2,0,0,0,11,2,1,0,6,0,0,0
Fat Hen,0,0,0,3,0,40,0,0,4,0,0,1
Loose Silky-bent,3,0,0,0,2,0,56,0,4,0,0,0
Maize,0,0,0,1,0,1,0,19,1,0,0,0
Scentless Mayweed,0,0,0,1,0,0,3,0,48,0,0,0
Shepherds Purse,0,0,0,4,0,1,0,0,5,13,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,2,1,47,0
Sugar beet,0,0,0,0,0,2,0,0,1,0,0,35
