class,precision,recall,f1-score,support
Black-grass,0.75,0.46153846153846156,0.5714285714285714,26.0
Charlock,0.95,0.9743589743589743,0.9620253164556962,39.0
Cleavers,1.0,0.7586206896551724,0.8627450980392156,29.0
Common Chickweed,0.8833333333333333,0.8688524590163934,0.8760330578512396,61.0
Common wheat,0.9090909090909091,0.45454545454545453,0.6060606060606061,22.0
Fat Hen,0.82,0.8541666666666666,0.836734693877551,48.0
Loose Silky-bent,0.7466666666666667,0.8615384615384616,0.8,65.0
Maize,1.0,0.8636363636363636,0.9268292682926829,22.0
Scentless Mayweed,0.5517241379310345,0.9230769230769231,0.6906474820143885,52.0
Shepherds Purse,0.9090909090909091,0.43478260869565216,0.5882352941176471,23.0
Small-flowered Cranesbill,0.9591836734693877,0.94,0.9494949494949495,50.0
Sugar beet,1.0,0.9210526315789473,0.958904109589041,38.0
accuracy,0.8231578947368421,0.8231578947368421,0.8231578947368421,0.8231578947368421
macro avg,0.8732574691318534,0.7763474745256226,0.8024282039351323,475.0
weighted avg,0.8523886240455595,0.8231578947368421,0.8212142770135953,475.0
