true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,10,0,0,0,0,0,16,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,4,24,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,57,0,0,1,0,2,1,0,0
Common wheat,2,0,0,1,17,0,1,0,0,0,0,1
Fat Hen,0,0,0,1,1,42,0,0,2,0,0,2
Loose Silky-bent,3,0,0,0,0,0,60,0,2,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,1,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,6,16,0,1
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
