true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,10,0,0,0,0,0,14,0,2,0,0,0
Charlock,0,35,0,1,0,1,0,0,1,0,1,0
Cleavers,0,2,19,0,0,1,0,0,3,0,4,0
Common Chickweed,0,0,0,48,0,1,1,0,8,0,3,0
Common wheat,4,0,0,0,3,2,3,0,9,0,0,1
Fat Hen,0,4,0,4,0,25,2,1,8,0,1,3
Loose Silky-bent,4,0,0,0,1,0,50,0,10,0,0,0
Maize,0,2,0,4,0,0,0,11,4,0,0,1
Scentless Mayweed,0,0,0,4,0,0,10,0,38,0,0,0
Shepherds Purse,0,2,2,6,0,0,0,0,6,0,7,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,2,0,48,0
Sugar beet,0,0,0,1,0,0,1,0,1,0,0,35
