class,precision,recall,f1-score,support
Black-grass,0.5555555555555556,0.38461538461538464,0.4545454545454546,26.0
Charlock,0.7777777777777778,0.8974358974358975,0.8333333333333333,39.0
Cleavers,0.9047619047619048,0.6551724137931034,0.7599999999999999,29.0
Common Chickweed,0.7058823529411765,0.7868852459016393,0.7441860465116278,61.0
Common wheat,0.75,0.13636363636363635,0.23076923076923075,22.0
Fat Hen,0.8333333333333334,0.5208333333333334,0.6410256410256411,48.0
Loose Silky-bent,0.6172839506172839,0.7692307692307693,0.684931506849315,65.0
Maize,0.9166666666666666,0.5,0.6470588235294118,22.0
Scentless Mayweed,0.41304347826086957,0.7307692307692307,0.5277777777777778,52.0
Shepherds Purse,0.0,0.0,0.0,23.0
Small-flowered Cranesbill,0.75,0.96,0.8421052631578947,50.0
Sugar beet,0.875,0.9210526315789473,0.8974358974358975,38.0
accuracy,0.6778947368421052,0.6778947368421052,0.6778947368421052,0.6778947368421052
macro avg,0.6749420849928806,0.6051965452518284,0.605264081244632,475.0
weighted avg,0.6801959597297688,0.6778947368421052,0.6526479963564227,475.0
