true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,13,0,0,0,1,0,12,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,23,0,0,1,0,0,0,0,2,0
Common Chickweed,0,0,0,58,0,0,1,0,1,1,0,0
Common wheat,1,0,0,1,16,0,2,1,1,0,0,0
Fat Hen,0,0,0,2,1,42,0,1,1,0,0,1
Loose Silky-bent,6,0,0,0,0,0,58,0,1,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,2,0,0,1,0,49,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,5,18,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
