true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,0,0,0,0,17,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,4,18,0,0,4,0,0,1,1,1,0
Common Chickweed,0,0,0,53,0,2,1,0,5,0,0,0
Common wheat,3,0,0,0,8,2,2,1,6,0,0,0
Fat Hen,0,0,0,3,0,40,1,0,3,0,0,1
Loose Silky-bent,2,0,0,0,1,0,60,1,1,0,0,0
Maize,0,0,0,1,0,1,0,19,1,0,0,0
Scentless Mayweed,0,0,0,3,1,1,8,1,38,0,0,0
Shepherds Purse,0,3,0,7,0,1,0,0,5,6,1,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,2,1,47,0
Sugar beet,0,0,0,0,0,2,0,0,1,0,0,35
